trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900292179,Local365,72,2015-10-03 20:12:37 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900292193,Local365,862,2015-10-03 13:12:25 UTC,2576,Rainey @ River St,2576,Rainey @ River St,3
9900292203,Local30,369,2015-10-03 17:12:20 UTC,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,9
9900292214,Local365,894,2015-10-03 21:12:04 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,17
9900292232,Local365,555,2015-10-03 11:12:10 UTC,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,6
9900292235,Local365,183,2015-10-03 12:12:10 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,9
9900292254,Local365,72,2015-10-03 20:12:18 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900292255,Local365,306,2015-10-03 20:12:52 UTC,1006,Zilker Park West,1006,Zilker Park West,1
9900292288,Local365,329,2015-10-03 18:12:50 UTC,2576,Rainey @ River St,1008,Nueces @ 3rd,18
9900292302,Local365,183,2015-10-03 02:12:30 UTC,3291,11th & San Jacinto,1008,Nueces @ 3rd,8
9900292303,Local30,54,2015-10-03 07:12:25 UTC,1008,Nueces @ 3rd,1006,Zilker Park West,26
9900292307,Local30,285,2015-10-03 04:12:20 UTC,3291,11th & San Jacinto,2823,Capital Metro HQ - East 5th at Broadway,12
9900292319,Local365,191,2015-10-03 12:12:37 UTC,2576,Rainey @ River St,1006,Zilker Park West,32
9900292320,Local365,866,2015-10-03 12:12:44 UTC,2576,Rainey @ River St,2576,Rainey @ River St,1
9900292347,Local365,306,2015-10-03 20:12:04 UTC,1006,Zilker Park West,1006,Zilker Park West,0
9900292363,Local365,735,2015-10-03 12:12:00 UTC,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,8
9900292365,Local365,409,2015-10-03 12:12:55 UTC,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292373,Local365,400,2015-10-03 15:12:14 UTC,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,7
9900292375,Local365,58,2015-10-03 15:12:47 UTC,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900292386,Local365,549,2015-10-03 19:12:18 UTC,2712,Toomey Rd @ South Lamar,2568,East 11th St. at Victory Grill,37
9900292388,Local365,320,2015-10-03 20:12:03 UTC,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,7
9900292409,Walk Up,275,2015-10-04 12:12:36 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,36
9900292410,Walk Up,275,2015-10-04 11:12:19 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,26
9900292446,Walk Up,869,2015-10-04 14:12:14 UTC,2576,Rainey @ River St,1006,Zilker Park West,20
9900292464,Walk Up,576,2015-10-04 00:12:39 UTC,1008,Nueces @ 3rd,2576,Rainey @ River St,13
9900292500,Walk Up,578,2015-10-04 11:12:01 UTC,2536,Waller & 6th St.,2536,Waller & 6th St.,1
9900292501,Walk Up,252,2015-10-04 12:12:34 UTC,1007,Lavaca & 6th,2536,Waller & 6th St.,48
9900292503,Walk Up,164,2015-10-04 11:12:59 UTC,2536,Waller & 6th St.,2536,Waller & 6th St.,23
9900292568,Walk Up,421,2015-10-04 13:12:29 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900292648,Walk Up,64,2015-10-04 16:12:04 UTC,1008,Nueces @ 3rd,1006,Zilker Park West,12
9900292685,Walk Up,439,2015-10-04 16:12:18 UTC,2576,Rainey @ River St,2576,Rainey @ River St,88
9900292708,Walk Up,153,2015-10-04 20:12:08 UTC,1006,Zilker Park West,2576,Rainey @ River St,18
9900292714,Walk Up,572,2015-10-04 21:12:05 UTC,1006,Zilker Park West,1006,Zilker Park West,0
9900292715,Walk Up,434,2015-10-04 21:12:00 UTC,1006,Zilker Park West,1006,Zilker Park West,0
9900292723,Walk Up,362,2015-10-04 21:12:46 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900292725,Walk Up,164,2015-10-04 21:12:59 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,21
